,ratio_d,ratio_pitch,ratio_top_diameter
76,0.0271796874999999,0.669921875,0.40625
77,0.0616796875,1.294921875,0.00625
78,0.0444296874999999,0.357421875,0.6062500000000001
79,0.0099296875,0.982421875,0.20625
80,0.0120859375,0.396484375,0.53125
81,0.0465859374999999,1.021484375,0.13125
82,0.0638359375,0.708984375,0.7312500000000001
83,0.0293359374999999,1.333984375,0.33125
84,0.0379609375,0.865234375,0.03125
85,0.0724609374999999,1.490234375,0.43125
86,0.0552109374999999,0.552734375,0.23125
87,0.0207109375,1.177734375,0.6312500000000001
88,0.0163984374999999,0.630859375,0.28125
89,0.0508984374999999,1.255859375,0.68125
90,0.0681484374999999,0.318359375,0.08125
91,0.0336484374999999,0.943359375,0.48125
92,0.0250234375,0.474609375,0.78125
93,0.0595234375,1.099609375,0.38125
94,0.0422734375,0.787109375,0.58125
95,0.0077734374999999,1.412109375,0.18125
96,0.0066953125,0.416015625,0.31875
97,0.0411953125,1.041015625,0.71875
98,0.0584453125,0.728515625,0.11875
99,0.0239453124999999,1.353515625,0.51875
100,0.0325703125,0.572265625,0.61875
101,0.0670703124999999,1.197265625,0.21875
102,0.0498203124999999,0.259765625,0.41875
103,0.0153203124999999,0.884765625,0.01875
104,0.0196328125,0.806640625,0.46875
105,0.0541328124999999,1.431640625,0.06875
106,0.0713828124999999,0.494140625,0.6687500000000001
107,0.0368828125,1.119140625,0.26875
108,0.0282578124999999,0.337890625,0.16875
109,0.0627578125,0.962890625,0.56875
110,0.0455078124999999,0.650390625,0.36875
111,0.0110078124999999,1.275390625,0.76875
112,0.0088515625,0.689453125,0.09375
113,0.0433515624999999,1.314453125,0.49375
114,0.0606015625,0.376953125,0.29375
115,0.0261015624999999,1.001953125,0.6937500000000001
116,0.0347265624999999,0.533203125,0.59375
117,0.0692265624999999,1.158203125,0.19375
118,0.0519765624999999,0.845703125,0.7937500000000001
119,0.0174765625,1.470703125,0.39375
120,0.0131640624999999,0.298828125,0.74375
121,0.0476640624999999,0.923828125,0.34375
122,0.0649140625,0.611328125,0.5437500000000001
123,0.0304140625,1.236328125,0.14375
124,0.0217890624999999,0.767578125,0.24375
125,0.0562890625,1.392578125,0.64375
126,0.0390390625,0.455078125,0.04375
127,0.0045390625,1.080078125,0.44375
128,0.0048085937499999,0.6650390625,0.234375
129,0.0393085937499999,1.2900390625,0.634375
130,0.05655859375,0.3525390625,0.034375
131,0.0220585937499999,0.9775390625,0.434375
132,0.0306835937499999,0.5087890625,0.734375
133,0.0651835937499999,1.1337890625,0.334375
134,0.0479335937499999,0.8212890625,0.534375
135,0.0134335937499999,1.4462890625,0.134375
136,0.0177460937499999,0.2744140625,0.584375
137,0.05224609375,0.8994140625,0.184375
138,0.06949609375,0.5869140625,0.784375
139,0.03499609375,1.2119140625,0.384375
140,0.0263710937499999,0.7431640625,0.084375
141,0.0608710937499999,1.3681640625,0.484375
142,0.0436210937499999,0.4306640625,0.284375
143,0.00912109375,1.0556640625,0.6843750000000001
144,0.0112773437499999,0.4697265625,0.159375
145,0.0457773437499999,1.0947265625,0.5593750000000001
146,0.0630273437499999,0.7822265625,0.359375
147,0.0285273437499999,1.4072265625,0.759375
148,0.03715234375,0.6259765625,0.459375
149,0.07165234375,1.2509765625,0.059375
150,0.05440234375,0.3134765625,0.659375
151,0.01990234375,0.9384765625,0.259375
152,0.0155898437499999,0.8603515625,0.609375
153,0.05008984375,1.4853515625,0.209375
154,0.06733984375,0.5478515625,0.409375
155,0.03283984375,1.1728515625,0.009375
156,0.02421484375,0.3916015625,0.309375
157,0.0587148437499999,1.0166015625,0.7093750000000001
158,0.0414648437499999,0.7041015625,0.109375
159,0.00696484375,1.3291015625,0.509375
160,0.00804296875,0.3330078125,0.796875
161,0.0425429687499999,0.9580078125,0.396875
162,0.0597929687499999,0.6455078125,0.596875
163,0.02529296875,1.2705078125,0.196875
164,0.03391796875,0.8017578125,0.296875
165,0.06841796875,1.4267578125,0.696875
166,0.05116796875,0.4892578125,0.096875
167,0.0166679687499999,1.1142578125,0.496875
168,0.0209804687499999,0.5673828125,0.046875
169,0.05548046875,1.1923828125,0.446875
170,0.07273046875,0.2548828125,0.246875
171,0.0382304687499999,0.8798828125,0.6468750000000001
172,0.0296054687499999,0.4111328125,0.546875
173,0.0641054687499999,1.0361328125,0.146875
174,0.0468554687499999,0.7236328125,0.7468750000000001
175,0.01235546875,1.3486328125,0.346875
176,0.0101992187499999,0.7626953125,0.421875
177,0.0446992187499999,1.3876953125,0.021875
178,0.0619492187499999,0.4501953125,0.6218750000000001
179,0.0274492187499999,1.0751953125,0.221875
180,0.03607421875,0.2939453125,0.121875
181,0.07057421875,0.9189453125,0.521875
182,0.05332421875,0.6064453125,0.321875
183,0.0188242187499999,1.2314453125,0.721875
184,0.01451171875,0.5283203125,0.371875
185,0.0490117187499999,1.1533203125,0.7718750000000001
186,0.0662617187499999,0.8408203125,0.171875
187,0.03176171875,1.4658203125,0.571875
188,0.0231367187499999,0.6845703125,0.671875
189,0.0576367187499999,1.3095703125,0.271875
190,0.0403867187499999,0.3720703125,0.471875
