,coilable,sigma_crit,energy
305,1.0,138.8467723533695,44.46792906331658
306,1.0,2.8367777056699426,
307,0.0,40.52466822983076,
308,1.0,16.343302796220552,
309,1.0,25.450785259711164,17.4498760379521
310,1.0,65.99837180134716,36.48666950561285
311,0.0,0.8784716238900255,0.7367442666690827
312,1.0,13.088902519877472,17.566927587729978
313,0.0,6.1395610847129545,
314,1.0,24.9160246509224,32.09617423565841
315,0.0,47.74775616711333,
316,1.0,33.856712734052714,
317,0.0,44.88551367054869,
318,1.0,29.638470122345115,28.221008700900303
319,1.0,42.2931979574679,
320,1.0,27.545264310800512,25.47187516167244
321,1.0,39.266707559632415,48.131313215186594
322,0.0,30.55010963637549,
323,1.0,21.758390579979192,29.16786106428483
324,1.0,61.21863055041136,33.34656193780703
325,0.0,51.39049450460064,
326,1.0,26.59670084997281,35.314951517413604
327,0.0,37.64460037963983,
328,1.0,25.49662188332163,31.293198010416205
329,0.0,10.201577204281543,
330,1.0,9.307890367831932,
331,1.0,17.978142371660496,15.66131591867
332,1.0,9.746521390993196,7.092177764629793
333,1.0,71.97623146387875,34.6649670679708
334,1.0,76.33453042550721,
335,1.0,44.17759248367594,
336,0.0,12.298984706323775,6.114449343966261
337,0.0,48.27997029681264,
338,1.0,12.21214976937284,15.612172566755865
339,0.0,120.3147707797492,
340,1.0,1.6083561929094574,
341,0.0,11.835016216222284,
342,1.0,45.78314754958698,
343,1.0,62.61664757053057,
344,1.0,16.07974221046037,21.10891622876796
345,1.0,101.8222396320157,20.005070640727844
346,1.0,1.467408575307275,20.15895322847224
347,0.0,14.54803503814397,8.225990959974666
348,0.0,25.86458811175009,
349,1.0,36.99652145136962,
350,1.0,37.39249894978226,6.749093597179927
351,0.0,71.86800610257626,
352,1.0,6.39828336020314,
353,0.0,20.54372005430185,
354,1.0,23.92289780602897,31.883577019301423
355,0.0,17.25876202888513,
356,1.0,55.74752022668436,24.465341205408585
357,1.0,80.63426036807785,
358,0.0,12.135755396688728,
359,1.0,79.29608560656119,59.72980289613946
360,1.0,5.15229114172531,
361,1.0,139.91629357094703,39.29171771000872
362,1.0,3.134843083092444,17.963401036591307
363,1.0,106.70129356744084,57.21937028107392
364,1.0,47.83815617478954,
365,0.0,,
366,1.0,44.78620098605935,
367,0.0,25.613759921437268,
368,1.0,37.66497221235558,32.02581157101236
369,0.0,19.113872045564264,
370,1.0,41.68331621553976,
371,1.0,53.65813413377396,19.027061290783745
372,0.0,15.27250833909828,
373,0.0,40.36424004719412,
374,1.0,2.9326526433885003,
375,1.0,18.139843793841862,
376,0.0,28.57913482112546,
377,1.0,40.72456683835418,
378,0.0,1.9523855178968983,
379,1.0,0.955247968437556,22.403417032885603
380,1.0,6.9941594671391965,
381,1.0,44.57993617981225,
382,1.0,75.38342048559004,47.77347366201848
383,0.0,11.153451087925552,7.197159502736085
384,1.0,36.38409323035201,38.945217602746105
385,1.0,17.512136698287424,16.32160794718571
386,1.0,39.17630755195623,
387,0.0,19.19408613688258,8.973142170684874
388,1.0,76.19192759649687,23.085191185473484
389,1.0,8.837173708143343,28.478217989726765
390,0.0,4.11129048994984,
391,1.0,40.45973301304926,
392,0.0,8.067882375214358,
393,1.0,69.98233833682347,26.91603250723827
394,1.0,42.830505045346136,14.47705961456496
395,1.0,58.49262468513337,75.63683893696054
396,1.0,10.600865125510492,
397,1.0,13.76881243676605,8.978893485911295
398,1.0,104.6832088890356,32.804224910240585
399,1.0,19.25138191639566,
400,1.0,21.599235636887297,
401,0.0,8.953802450441085,
402,1.0,10.401348488850491,
403,1.0,11.293252789937473,12.27675930088495
404,1.0,20.932058115446075,10.62238062647027
405,0.0,80.68900966850147,
406,1.0,38.27612719382846,28.656858646035023
407,1.0,137.00057501350352,40.38118033911403
408,1.0,0.8406436770159438,1.1365334588589524
409,1.0,46.50634761099655,
410,0.0,37.18114118535622,
411,0.0,66.10532392310492,
412,1.0,9.9801608474521,27.872641948705017
413,0.0,107.75553591048156,
414,1.0,3.960156955989777,
415,0.0,4.647960958055712,3.4222510393817704
416,1.0,63.73837160944225,14.05996626539199
417,0.0,102.18765938135468,
418,0.0,7.023316652713631,
419,1.0,25.21396270439043,22.319918109179
420,1.0,6.00688952415155,11.824745577659067
421,0.0,28.821050334625145,
422,1.0,40.84552459510402,
423,0.0,113.72957585437894,
424,1.0,29.862560282218507,
425,1.0,7.249698643767544,6.71146738182572
426,1.0,102.1481889554679,69.6523568036585
427,0.0,28.93436865410657,
428,0.0,0.5387967781455788,0.4590579126884053
429,0.0,88.56272301314372,
430,1.0,16.349668993944224,
431,0.0,74.08471614996017,
432,1.0,23.35757944816656,11.207452875765568
433,0.0,46.92906313984862,
434,1.0,17.776970523592343,19.90274944808677
435,1.0,44.6359587197806,
436,1.0,99.98622820850758,27.560144930355555
437,0.0,3.5166876225585195,
438,1.0,19.647359414808296,24.817881456317213
439,0.0,47.68791390851079,
440,1.0,24.867641548222466,
441,1.0,52.12515372191282,18.813236193048205
442,1.0,18.55619312497026,22.205586508732097
443,0.0,12.989589835388127,
444,1.0,17.425556409245438,
445,1.0,29.49077433515584,
446,0.0,32.94125350138814,
447,1.0,2.6219821944731203,
448,0.0,20.94988346907237,
449,1.0,29.047686973588,26.10552652099409
450,1.0,25.43932610380856,
451,1.0,62.09589259673388,
452,1.0,14.983482962443397,20.9450894741218
453,0.0,17.50322402147428,
454,1.0,1.1983221299229458,24.302741721378823
455,0.0,38.62754130817537,
